Iteración,Fitness,Tiempo,Interacción,BLOSUM
1,16.4,9.393027782440186,3.4,13.0
2,16.4,20.232288360595703,3.4,13.0
3,16.4,31.879181385040283,3.4,13.0
1,16.4,12.461443662643433,3.4,13.0
2,16.4,25.692079782485962,3.4,13.0
3,16.4,41.38357210159302,3.4,13.0
1,16.4,15.680865287780762,3.4,13.0
2,16.4,30.613043546676636,3.4,13.0
3,16.4,44.78825664520264,3.4,13.0
1,16.4,14.113826990127563,3.4,13.0
2,16.4,28.10578966140747,3.4,13.0
3,16.4,40.53056216239929,3.4,13.0
1,16.4,12.823410749435425,3.4,13.0
2,16.4,25.667668104171753,3.4,13.0
3,16.4,36.834548234939575,3.4,13.0
1,16.4,12.218770742416382,3.4,13.0
2,16.4,26.813916444778442,3.4,13.0
3,16.4,39.98231601715088,3.4,13.0
1,16.4,20.795957803726196,3.4,13.0
2,16.4,41.037224769592285,3.4,13.0
3,16.4,54.71824645996094,3.4,13.0
1,16.4,12.720762729644775,3.4,13.0
2,16.4,26.079223155975342,3.4,13.0
3,16.4,38.90666103363037,3.4,13.0
1,16.4,12.272064685821533,3.4,13.0
2,16.4,25.111732244491577,3.4,13.0
3,16.4,37.82989168167114,3.4,13.0
1,16.4,12.58946704864502,3.4,13.0
2,16.4,25.22576642036438,3.4,13.0
3,16.4,38.145238637924194,3.4,13.0
1,16.4,12.250235319137573,3.4,13.0
2,16.4,25.025587797164917,3.4,13.0
3,16.4,38.62291431427002,3.4,13.0
1,16.4,12.247591495513916,3.4,13.0
2,16.4,24.96508264541626,3.4,13.0
3,16.4,37.88888740539551,3.4,13.0
1,16.4,12.201592683792114,3.4,13.0
2,16.4,25.156294107437134,3.4,13.0
3,16.4,37.569101095199585,3.4,13.0
1,16.4,12.149983406066895,3.4,13.0
2,16.4,24.518632888793945,3.4,13.0
3,16.4,37.14126706123352,3.4,13.0
1,16.4,15.083982706069946,3.4,13.0
2,16.4,30.20100688934326,3.4,13.0
3,16.4,47.91003704071045,3.4,13.0
1,16.4,15.477765083312988,3.4,13.0
2,16.4,30.19603729248047,3.4,13.0
3,16.4,49.61968493461609,3.4,13.0
1,16.4,12.352847576141357,3.4,13.0
2,16.4,28.690309286117554,3.4,13.0
3,16.4,45.512768268585205,3.4,13.0
1,16.4,13.188561916351318,3.4,13.0
2,16.4,27.146753549575806,3.4,13.0
3,16.4,41.67907738685608,3.4,13.0
1,16.4,14.4564528465271,3.4,13.0
2,16.4,32.76400899887085,3.4,13.0
3,16.4,47.03689527511597,3.4,13.0
1,16.4,14.153076410293579,3.4,13.0
2,16.4,28.498699188232422,3.4,13.0
3,16.4,42.88324022293091,3.4,13.0
1,16.4,16.707072496414185,3.4,13.0
2,16.4,32.08075714111328,3.4,13.0
3,16.4,47.18523836135864,3.4,13.0
1,16.4,14.137686967849731,3.4,13.0
2,16.4,26.96276593208313,3.4,13.0
3,16.4,42.369816303253174,3.4,13.0
1,16.4,14.762503862380981,3.4,13.0
2,16.4,29.75983738899231,3.4,13.0
3,16.4,44.79259729385376,3.4,13.0
1,16.4,15.608714818954468,3.4,13.0
2,16.4,30.933963775634766,3.4,13.0
3,16.4,46.02026653289795,3.4,13.0
1,16.4,15.970227241516113,3.4,13.0
2,16.4,33.78224039077759,3.4,13.0
3,16.4,51.78601908683777,3.4,13.0
1,16.4,13.895505905151367,3.4,13.0
2,16.4,26.70331120491028,3.4,13.0
3,16.4,40.50016117095947,3.4,13.0
1,16.4,14.705177307128906,3.4,13.0
2,16.4,28.17472004890442,3.4,13.0
3,16.4,44.85793113708496,3.4,13.0
1,16.4,16.334262371063232,3.4,13.0
2,16.4,30.11453866958618,3.4,13.0
3,16.4,43.357431411743164,3.4,13.0
1,16.4,12.749828338623047,3.4,13.0
2,16.4,25.41972064971924,3.4,13.0
3,16.4,38.45390200614929,3.4,13.0
1,16.4,13.438220977783203,3.4,13.0
2,16.4,27.206239461898804,3.4,13.0
3,16.4,40.09537196159363,3.4,13.0
